label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_cell_12	5	U2917	cell		{759.9730 556.6820} {761.4190 558.4850}		NAND4X0_HVT	saed32hvt_tt.modified_lef/NAND4X0_HVT			
near_cell_12	6	ZBUF_5_inst_4395	cell		{761.1890 556.6820} {762.6350 558.4850}		NBUFFX2_HVT	saed32hvt_tt.modified_lef/NBUFFX2_HVT			
near_pin_12	1	U5112/A1	pin	M1 CO	{760.9450 559.2410} {761.1170 559.4250}	u_ibex_top_u_ibex_core_id_stage_i_controller_i_ctrl_fsm_cs[0]					
near_pin_12	2	U5112/VSS	pin	M1 CO	{760.6960 559.6690} {762.2160 560.0860}	VSS					
near_shape_12	1	PATH_19_955	shape	M5	{732.8520 559.2680} {767.8680 559.3240}	n5971			detail_route		n5971
near_shape_12	2	PATH_11_50462	shape	M1	{760.8180 559.2660} {761.0610 559.3260}	u_ibex_top_u_ibex_core_id_stage_i_controller_i_ctrl_fsm_cs[0]			detail_route		u_ibex_top_u_ibex_core_id_stage_i_controller_i_ctrl_fsm_cs[0]
near_shape_12	3	PATH_13_97014	shape	M2	{760.8200 559.7240} {761.3320 559.7800}	n4612			detail_route		n4612
near_shape_12	4	PATH_15_181881	shape	M3	{741.8200 559.2680} {767.1080 559.3240}	n54812			detail_route		n54812
offgrid_error_13	0	13	drc_error		{764.7750 589.4430} {764.8250 589.6450}	NA	NA	NA	NA	NA	NA
drc_object_13	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]	net		{764.6810 576.9240} {771.5430 590.8910}						
near_cell_13	1	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_i_rdata_q_reg_2__3_	cell		{759.2130 586.7780} {763.3950 588.5810}		DFFX1_HVT	saed32hvt_tt.modified_lef/DFFX1_HVT			
near_cell_13	2	U7552	cell		{764.8370 590.1220} {767.0430 591.9390}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_13	3	U7581	cell		{764.2290 586.7780} {766.4350 588.5950}		AO222X1_HVT	saed32hvt_tt.modified_lef/AO222X1_HVT			
near_cell_13	4	U20613	cell		{762.4080 588.3790} {764.1550 590.1820}		NBUFFX4_HVT	saed32hvt_tt.modified_lef/NBUFFX4_HVT			
