idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
12	11	VIA_SA_15703	VIA12SQ_C	M1	M2	780.3040 335.4000	{780.2490 335.2690} {780.3590 335.5310}	2 1	2	1	detail_route	n2871
12	11	VIA_S_137178	VIA12SQ_C	M1	M2	798.6960 336.7680	{798.6410 336.7130} {798.7510 336.8230}	1 1	1	1	detail_route	n2871
13	12	VIA_S_156634	VIA12SQ_C	M1	M2	748.8400 363.5200	{748.7850 363.4650} {748.8950 363.5750}	1 1	1	1	detail_route	n6821
13	12	VIA_S_156631	VIA12SQ_C	M1	M2	748.3840 405.3200	{748.3290 405.2650} {748.4390 405.3750}	1 1	1	1	detail_route	n6821
13	12	VIA_S_156527	VIA12SQ_C	M1	M2	743.8240 340.8720	{743.7690 340.8170} {743.8790 340.9270}	1 1	1	1	detail_route	n6821
13	12	VIA_SA_15712	VIA12SQ_C	M1	M2	743.2160 343.3040	{743.1610 343.1730} {743.2710 343.4350}	2 1	2	1	detail_route	n6821
14	14	VIA_S_145411	VIA12SQ_C	M1	M2	748.9920 425.3840	{748.9370 425.3290} {749.0470 425.4390}	1 1	1	1	detail_route	n4612
14	14	VIA_SA_15707	VIA12SQ_C	M1	M2	747.7760 423.5600	{747.7210 423.4290} {747.8310 423.6910}	2 1	2	1	detail_route	n4612
14	14	VIA_S_144365	VIA12SQ_C	M1	M2	747.3200 426.1440	{747.2650 426.0890} {747.3750 426.1990}	1 1	1	1	detail_route	n4612
15	15	VIA_SA_15722	VIA12SQ_C	M1	M2	768.2960 462.4720	{768.2410 462.3410} {768.3510 462.6030}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
15	15	VIA_SA_15721	VIA12SQ_C	M1	M2	767.6880 463.6880	{767.6330 463.5570} {767.7430 463.8190}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
15	15	VIA_S_831995	VIA12SQ_C	M1	M2	767.6880 461.2560	{767.6330 461.2010} {767.7430 461.3110}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
15	15	VIA_S_831994	VIA12SQ_C	M1	M2	763.1280 461.2560	{763.0730 461.2010} {763.1830 461.3110}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
