label	idx	name	class	layer	bbox	net	ref_name	lib_cell	shape_use	via_def	owner
near_shape_7	1	PATH_15_265880	shape	M3	{712.1800 318.5000} {718.9240 318.5560}	u_ibex_top_u_ibex_core_load_store_unit_i_data_type_q[1]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_data_type_q[1]
near_shape_7	2	PATH_13_542700	shape	M2	{713.8520 316.9800} {713.9080 318.7080}	u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]			detail_route		u_ibex_top_u_ibex_core_load_store_unit_i_rdata_offset_q[1]
near_via_7	1	VIA_SA_15717	via		{713.3690 318.6250} {713.6310 318.7350}	n47724			detail_route	VIA12SQ_C	n47724
offgrid_error_8	0	7	drc_error		{776.4790 315.2350} {776.5290 315.4370}	NA	NA	NA	NA	NA	NA
drc_object_8	1	n4111	net		{774.0170 309.7330} {780.6630 315.4670}						
near_cell_8	1	U3107	cell		{773.9370 314.1570} {775.7080 315.9740}		OA22X1_HVT	saed32hvt_tt.modified_lef/OA22X1_HVT			
near_cell_8	2	U3393	cell		{775.0210 315.9140} {776.4570 317.7170}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_8	3	U3396	cell		{773.6530 315.9140} {775.2510 317.7170}		OR2X1_HVT	saed32hvt_tt.modified_lef/OR2X1_HVT			
near_cell_8	4	U4639	cell		{773.6530 312.5700} {775.2500 314.3730}		AND3X1_HVT	saed32hvt_tt.modified_lef/AND3X1_HVT			
near_cell_8	5	U4847	cell		{776.2370 315.9140} {778.5950 317.7310}		AO222X2_HVT	saed32hvt_tt.modified_lef/AO222X2_HVT			
near_cell_8	6	U4110	cell		{777.7570 314.1710} {779.9630 315.9740}		NOR2X4_HVT	saed32hvt_tt.modified_lef/NOR2X4_HVT			
near_pin_8	1	U4214/A1	pin	M1 CO	{776.1450 315.1290} {776.3170 315.3130}	n2966					
near_pin_8	2	U4214/VSS	pin	M1 CO	{775.8960 315.5330} {777.8720 315.9740}	VSS					
near_shape_8	1	PATH_19_613	shape	M5	{772.9800 315.4600} {790.3640 315.5160}	n4303			detail_route		n4303
near_shape_8	2	PATH_13_94469	shape	M2	{776.4760 313.0280} {776.5320 315.3640}	n4111			detail_route		n4111
offgrid_error_9	0	8	drc_error		{778.4550 315.2350} {778.5050 315.4370}	NA	NA	NA	NA	NA	NA
drc_object_9	1	n4111	net		{774.0170 309.7330} {780.6630 315.4670}						
near_cell_9	1	U3112	cell		{779.1250 312.5700} {780.5610 314.3730}		AND2X1_HVT	saed32hvt_tt.modified_lef/AND2X1_HVT			
near_cell_9	2	U4847	cell		{776.2370 315.9140} {778.5950 317.7310}		AO222X2_HVT	saed32hvt_tt.modified_lef/AO222X2_HVT			
