idx	error	via	via_def	lower	upper	origin	bbox	array_size	rows	cols	shape_use	net
14	14	VIA_S_821475	VIA12SQ_C	M1	M2	767.2320 578.2960	{767.1770 578.2410} {767.2870 578.3510}	1 1	1	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
14	14	VIA_SA_15746	VIA12SQ_C	M1	M2	764.8000 589.5440	{764.7450 589.4130} {764.8550 589.6750}	2 1	2	1	detail_route	u_ibex_top_u_ibex_core_if_stage_i_gen_prefetch_buffer_prefetch_buffer_i_fifo_busy[1]
15	15	VIA_SA_15716	VIA12SQ_C	M1	M2	800.3680 596.2320	{800.3130 596.1010} {800.4230 596.3630}	2 1	2	1	detail_route	n5567
15	15	VIA_S_145907	VIA12SQ_C	M1	M2	796.2640 598.6640	{796.2090 598.6090} {796.3190 598.7190}	1 1	1	1	detail_route	n5567
16	16	VIA_SA_15718	VIA12SQ_C	M1	M2	807.0560 602.9200	{807.0010 602.7890} {807.1110 603.0510}	2 1	2	1	detail_route	n5613
16	16	VIA_S_149931	VIA12SQ_C	M1	M2	793.9840 602.1600	{793.9290 602.1050} {794.0390 602.2150}	1 1	1	1	detail_route	n5613
17	17	VIA_S_597145	VIA12SQ_C	M1	M2	804.0160 608.2400	{803.9610 608.1850} {804.0710 608.2950}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597143	VIA12SQ_C	M1	M2	806.2960 601.5520	{806.2410 601.4970} {806.3510 601.6070}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597139	VIA12SQ_C	M1	M2	804.0160 604.8960	{803.9610 604.8410} {804.0710 604.9510}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597137	VIA12SQ_C	M1	M2	802.6480 601.5520	{802.5930 601.4970} {802.7030 601.6070}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597133	VIA12SQ_C	M1	M2	800.3680 608.8480	{800.3130 608.7930} {800.4230 608.9030}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597131	VIA12SQ_C	M1	M2	800.3680 598.8160	{800.3130 598.7610} {800.4230 598.8710}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597129	VIA12SQ_C	M1	M2	799.4560 612.0400	{799.4010 611.9850} {799.5110 612.0950}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597127	VIA12SQ_C	M1	M2	796.8720 605.5040	{796.8170 605.4490} {796.9270 605.5590}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597126	VIA12SQ_C	M1	M2	796.7200 598.2080	{796.6650 598.1530} {796.7750 598.2630}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597122	VIA12SQ_C	M1	M2	794.7440 608.2400	{794.6890 608.1850} {794.7990 608.2950}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597120	VIA12SQ_C	M1	M2	794.7440 596.0800	{794.6890 596.0250} {794.7990 596.1350}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597119	VIA12SQ_C	M1	M2	793.2240 595.3200	{793.1690 595.2650} {793.2790 595.3750}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597117	VIA12SQ_C	M1	M2	793.5280 592.1280	{793.4730 592.0730} {793.5830 592.1830}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597113	VIA12SQ_C	M1	M2	792.4640 588.3280	{792.4090 588.2730} {792.5190 588.3830}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597112	VIA12SQ_C	M1	M2	789.8800 598.6640	{789.8250 598.6090} {789.9350 598.7190}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597111	VIA12SQ_C	M1	M2	789.8800 595.0160	{789.8250 594.9610} {789.9350 595.0710}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597041	VIA12SQ_C	M1	M2	789.5760 588.7840	{789.5210 588.7290} {789.6310 588.8390}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597036	VIA12SQ_C	M1	M2	788.0560 581.0320	{788.0010 580.9770} {788.1110 581.0870}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597034	VIA12SQ_C	M1	M2	788.6640 574.0400	{788.6090 573.9850} {788.7190 574.0950}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597032	VIA12SQ_C	M1	M2	787.1440 577.2320	{787.0890 577.1770} {787.1990 577.2870}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597029	VIA12SQ_C	M1	M2	785.9280 581.0320	{785.8730 580.9770} {785.9830 581.0870}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597027	VIA12SQ_C	M1	M2	784.2560 580.8800	{784.2010 580.8250} {784.3110 580.9350}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597025	VIA12SQ_C	M1	M2	782.8880 576.0160	{782.8330 575.9610} {782.9430 576.0710}	1 1	1	1	detail_route	n55676
17	17	VIA_S_597022	VIA12SQ_C	M1	M2	782.1280 571.9120	{782.0730 571.8570} {782.1830 571.9670}	1 1	1	1	detail_route	n55676
